#     ID   radi    Sigma_HI
       1    4.00    4.97
       1   10.00    4.62
       1   14.00    4.29
       1   18.00    4.22
       1   22.00    4.14
       1   26.00    3.98
       1   30.00    3.72
       1   34.00    3.41
       1   38.00    3.12
       1   42.00    2.82
       1   46.00    2.45
       1   50.00    2.03
       1   54.00    1.65
       1   58.00    1.31
       1   62.00    1.01
       1   66.00    0.78
       1   70.00    0.59
       1   74.00    0.43
       1   78.00    0.31
       1   82.00    0.21
       1   86.00    0.15
       1   90.00    0.10
       1   94.00    0.05
       1   98.00    0.03
       1  102.00    0.02
       1  106.00    0.00
       2    4.00    6.59
       2   10.00    6.23
       2   14.00    5.97
       2   18.00    5.56
       2   22.00    5.21
       2   26.00    4.72
       2   30.00    4.23
       2   34.00    3.61
       2   38.00    3.08
       2   42.00    2.52
       2   46.00    2.06
       2   50.00    1.63
       2   54.00    1.28
       2   58.00    0.95
       2   62.00    0.69
       2   66.00    0.48
       2   70.00    0.32
       2   74.00    0.21
       2   78.00    0.13
       2   82.00    0.09
       2   86.00    0.07
       2   90.00    0.05
       2   94.00    0.04
       2   98.00    0.03
       2  102.00    0.01
       2  106.00    0.00
       2  110.00    0.00
       3    4.00    7.90
       3   10.00    7.31
       3   14.00    6.41
       3   18.00    5.49
       3   22.00    4.54
       3   26.00    3.66
       3   30.00    3.03
       3   34.00    2.39
       3   38.00    1.75
       3   42.00    1.29
       3   46.00    0.95
       3   50.00    0.73
       3   54.00    0.52
       3   58.00    0.34
       3   62.00    0.21
       3   66.00    0.10
       3   70.00    0.04
       3   74.00    0.03
       3   78.00    0.01
       3   82.00    0.00
       3   86.00    0.00
       4    4.00    7.69
       4   10.00    7.70
       4   14.00    7.71
       4   18.00    7.55
       4   22.00    7.37
       4   26.00    6.97
       4   30.00    6.52
       4   34.00    5.90
       4   38.00    5.27
       4   42.00    4.56
       4   46.00    3.92
       4   50.00    3.26
       4   54.00    2.74
       4   58.00    2.23
       4   62.00    1.83
       4   66.00    1.45
       4   70.00    1.16
       4   74.00    0.88
       4   78.00    0.68
       4   82.00    0.49
       4   86.00    0.38
       4   90.00    0.28
       4   94.00    0.21
       4   98.00    0.16
       4  102.00    0.13
       4  106.00    0.11
       4  110.00    0.10
       4  114.00    0.08
       4  118.00    0.08
       4  122.00    0.07
       4  126.00    0.06
       4  130.00    0.05
       4  134.00    0.04
       4  138.00    0.03
       4  142.00    0.02
       4  146.00    0.01
       4  150.00    0.00
       4  154.00    0.00
       5    4.00    6.73
       5   10.00    7.11
       5   14.00    7.28
       5   18.00    7.18
       5   22.00    6.73
       5   26.00    6.17
       5   30.00    5.53
       5   34.00    4.85
       5   38.00    4.16
       5   42.00    3.58
       5   46.00    3.20
       5   50.00    2.84
       5   54.00    2.45
       5   58.00    2.05
       5   62.00    1.73
       5   66.00    1.56
       5   70.00    1.47
       5   74.00    1.37
       5   78.00    1.20
       5   82.00    0.97
       5   86.00    0.77
       5   90.00    0.59
       5   94.00    0.43
       5   98.00    0.28
       5  102.00    0.16
       5  106.00    0.09
       5  110.00    0.05
       5  114.00    0.02
       5  118.00    0.01
       5  122.00    0.00
       5  126.00    0.00
       6    4.00    3.52
       6   10.00    3.74
       6   14.00    3.95
       6   18.00    4.18
       6   22.00    4.38
       6   26.00    4.46
       6   30.00    4.41
       6   34.00    4.28
       6   38.00    4.14
       6   42.00    4.00
       6   46.00    3.83
       6   50.00    3.66
       6   54.00    3.44
       6   58.00    3.19
       6   62.00    2.89
       6   66.00    2.60
       6   70.00    2.29
       6   74.00    1.99
       6   78.00    1.68
       6   82.00    1.41
       6   86.00    1.14
       6   90.00    0.92
       6   94.00    0.71
       6   98.00    0.54
       6  102.00    0.44
       6  106.00    0.36
       6  110.00    0.29
       6  114.00    0.23
       6  118.00    0.18
       6  122.00    0.14
       6  126.00    0.11
       6  130.00    0.08
       6  134.00    0.05
       6  138.00    0.04
       6  142.00    0.02
       6  146.00    0.01
       6  150.00    0.01
       6  154.00    0.01
       6  158.00    0.01
       6  162.00    0.01
       6  166.00    0.00
       6  170.00    0.00
       8    4.00    5.00
       8   10.00    5.33
       8   14.00    5.58
       8   18.00    5.78
       8   22.00    5.80
       8   26.00    5.69
       8   30.00    5.39
       8   34.00    4.93
       8   38.00    4.45
       8   42.00    3.98
       8   46.00    3.48
       8   50.00    2.97
       8   54.00    2.50
       8   58.00    2.08
       8   62.00    1.70
       8   66.00    1.33
       8   70.00    1.03
       8   74.00    0.76
       8   78.00    0.54
       8   82.00    0.40
       8   86.00    0.31
       8   90.00    0.26
       8   94.00    0.21
       8   98.00    0.14
       8  102.00    0.07
       8  106.00    0.04
       8  110.00    0.01
       8  114.00    0.01
       8  118.00    0.00
       8  122.00    0.00
       8  126.00    0.00
       8  130.00    0.00
       8  134.00    0.00
       8  138.00    0.00
       8  142.00    0.00
       8  146.00    0.00
       8  150.00    0.00
       8  154.00    0.00
       8  158.00    0.00
       8  162.00    0.00
       8  166.00    0.00
       8  170.00    0.00
       8  174.00    0.00
       9    4.00    7.22
       9   10.00    6.66
       9   14.00    6.09
       9   18.00    5.51
       9   22.00    4.91
       9   26.00    4.32
       9   30.00    3.69
       9   34.00    3.00
       9   38.00    2.35
       9   42.00    1.68
       9   46.00    1.12
       9   50.00    0.71
       9   54.00    0.44
       9   58.00    0.27
       9   62.00    0.16
       9   66.00    0.10
       9   70.00    0.08
       9   74.00    0.11
       9   78.00    0.09
       9   82.00    0.09
       9   86.00    0.06
       9   90.00    0.04
       9   94.00    0.02
       9   98.00    0.01
       9  102.00    0.00
       9  106.00    0.00
       9  110.00    0.00
      10    4.00    7.38
      10   10.00    7.32
      10   14.00    7.16
      10   18.00    6.56
      10   22.00    5.81
      10   26.00    5.14
      10   30.00    4.54
      10   34.00    3.79
      10   38.00    2.82
      10   42.00    1.93
      10   46.00    1.25
      10   50.00    0.87
      10   54.00    0.67
      10   58.00    0.52
      10   62.00    0.41
      10   66.00    0.37
      10   70.00    0.34
      10   74.00    0.24
      10   78.00    0.16
      10   82.00    0.10
      10   86.00    0.09
      10   90.00    0.07
      10   94.00    0.05
      10   98.00    0.03
      10  102.00    0.02
      10  106.00    0.01
      10  110.00    0.00
      11    4.00    5.07
      11   10.00    5.55
      11   14.00    5.47
      11   18.00    5.09
      11   22.00    4.62
      11   26.00    4.14
      11   30.00    3.76
      11   34.00    2.99
      11   38.00    2.22
      11   42.00    1.55
      11   46.00    1.02
      11   50.00    0.63
      11   54.00    0.27
      11   58.00    0.11
      11   62.00    0.02
      11   66.00    0.00
      11   70.00    0.00
      11   74.00    0.00
      12    4.00    4.81
      12   10.00    4.94
      12   14.00    5.02
      12   18.00    4.88
      12   22.00    4.66
      12   26.00    4.33
      12   30.00    4.16
      12   34.00    3.83
      12   38.00    3.58
      12   42.00    3.20
      12   46.00    2.78
      12   50.00    2.45
      12   54.00    2.12
      12   58.00    1.87
      12   62.00    1.51
      12   66.00    1.21
      12   70.00    0.99
      12   74.00    0.82
      12   78.00    0.68
      12   82.00    0.54
      12   86.00    0.43
      12   90.00    0.36
      12   94.00    0.33
      12   98.00    0.25
      12  102.00    0.20
      12  106.00    0.15
      12  110.00    0.12
      12  114.00    0.09
      12  118.00    0.06
      12  122.00    0.04
      12  126.00    0.02
      12  130.00    0.01
      12  134.00    0.01
      12  138.00    0.00
      12  142.00    0.00
      12  146.00    0.00
      12  150.00    0.00
      12  154.00    0.00
      14    4.00    6.11
      14   10.00    5.77
      14   14.00    5.42
      14   18.00    5.16
      14   22.00    4.85
      14   26.00    4.44
      14   30.00    4.04
      14   34.00    3.59
      14   38.00    3.28
      14   42.00    3.01
      14   46.00    2.80
      14   50.00    2.63
      14   54.00    2.36
      14   58.00    2.12
      14   62.00    1.84
      14   66.00    1.59
      14   70.00    1.34
      14   74.00    1.11
      14   78.00    0.97
      14   82.00    0.87
      14   86.00    0.78
      14   90.00    0.63
      14   94.00    0.53
      14   98.00    0.45
      14  102.00    0.40
      14  106.00    0.33
      14  110.00    0.28
      14  114.00    0.23
      14  118.00    0.17
      14  122.00    0.12
      14  126.00    0.09
      14  130.00    0.05
      14  134.00    0.03
      14  138.00    0.02
      14  142.00    0.02
      14  146.00    0.01
      14  150.00    0.01
      14  154.00    0.01
      14  158.00    0.00
      14  162.00    0.00
      14  166.00    0.00
      15    4.00    4.53
      15   10.00    5.07
      15   14.00    5.24
      15   18.00    5.21
      15   22.00    5.19
      15   26.00    5.26
      15   30.00    5.39
      15   34.00    5.39
      15   38.00    5.21
      15   42.00    5.00
      15   46.00    4.72
      15   50.00    4.38
      15   54.00    4.07
      15   58.00    3.78
      15   62.00    3.54
      15   66.00    3.28
      15   70.00    2.99
      15   74.00    2.73
      15   78.00    2.51
      15   82.00    2.36
      15   86.00    2.16
      15   90.00    1.97
      15   94.00    1.80
      15   98.00    1.65
      15  102.00    1.52
      15  106.00    1.38
      15  110.00    1.29
      15  114.00    1.23
      15  118.00    1.17
      15  122.00    1.11
      15  126.00    1.03
      15  130.00    0.94
      15  134.00    0.85
      15  138.00    0.75
      15  142.00    0.66
      15  146.00    0.56
      15  150.00    0.48
      15  154.00    0.41
      15  158.00    0.35
      15  162.00    0.30
      15  166.00    0.24
      15  170.00    0.21
      15  174.00    0.18
      15  178.00    0.15
      15  182.00    0.12
      15  186.00    0.10
      15  190.00    0.09
      15  194.00    0.08
      15  198.00    0.06
      15  202.00    0.05
      15  206.00    0.04
      15  210.00    0.02
      15  214.00    0.02
      15  218.00    0.01
      15  222.00    0.00
      15  226.00    0.00
      16    4.00   10.47
      16   10.00   10.47
      16   14.00    9.92
      16   18.00    8.64
      16   22.00    6.76
      16   26.00    5.08
      16   30.00    3.76
      16   34.00    2.70
      16   38.00    1.95
      16   42.00    1.46
      16   46.00    1.17
      16   50.00    0.93
      16   54.00    0.76
      16   58.00    0.58
      16   62.00    0.40
      16   66.00    0.27
      16   70.00    0.16
      16   74.00    0.10
      16   78.00    0.06
      16   82.00    0.02
      16   86.00    0.00
      17    4.00    4.12
      17   10.00    4.46
      17   14.00    4.54
      17   18.00    4.26
      17   22.00    3.77
      17   26.00    3.41
      17   30.00    3.10
      17   34.00    2.96
      17   38.00    2.84
      17   42.00    2.70
      17   46.00    2.45
      17   50.00    2.23
      17   54.00    2.08
      17   58.00    1.99
      17   62.00    1.89
      17   66.00    1.77
      17   70.00    1.64
      17   74.00    1.53
      17   78.00    1.49
      17   82.00    1.41
      17   86.00    1.32
      17   90.00    1.23
      17   94.00    1.18
      17   98.00    1.10
      17  102.00    0.99
      17  106.00    0.85
      17  110.00    0.67
      17  114.00    0.53
      17  118.00    0.39
      17  122.00    0.30
      17  126.00    0.24
      17  130.00    0.21
      17  134.00    0.19
      17  138.00    0.17
      17  142.00    0.15
      17  146.00    0.12
      17  150.00    0.10
      17  154.00    0.08
      17  158.00    0.06
      17  162.00    0.04
      17  166.00    0.03
      17  170.00    0.03
      17  174.00    0.02
      17  178.00    0.02
      17  182.00    0.01
      17  186.00    0.01
      17  190.00    0.01
      17  194.00    0.00
      18    4.00    7.96
      18   10.00    7.79
      18   14.00    7.59
      18   18.00    7.41
      18   22.00    6.94
      18   26.00    6.30
      18   30.00    5.57
      18   34.00    4.83
      18   38.00    4.16
      18   42.00    3.47
      18   46.00    2.87
      18   50.00    2.30
      18   54.00    1.84
      18   58.00    1.43
      18   62.00    1.14
      18   66.00    0.87
      18   70.00    0.70
      18   74.00    0.55
      18   78.00    0.46
      18   82.00    0.37
      18   86.00    0.32
      18   90.00    0.26
      18   94.00    0.23
      18   98.00    0.18
      18  102.00    0.16
      18  106.00    0.12
      18  110.00    0.10
      18  114.00    0.07
      18  118.00    0.05
      18  122.00    0.03
      18  126.00    0.02
      18  130.00    0.01
      18  134.00    0.00
      18  138.00    0.00
      18  142.00    0.00
      18  146.00    0.00
      19    4.00    8.40
      19   10.00    8.16
      19   14.00    7.70
      19   18.00    7.05
      19   22.00    6.58
      19   26.00    6.27
      19   30.00    5.83
      19   34.00    5.41
      19   38.00    4.81
      19   42.00    4.27
      19   46.00    3.82
      19   50.00    3.43
      19   54.00    2.91
      19   58.00    2.33
      19   62.00    1.69
      19   66.00    1.22
      19   70.00    0.89
      19   74.00    0.71
      19   78.00    0.61
      19   82.00    0.52
      19   86.00    0.41
      19   90.00    0.31
      19   94.00    0.24
      19   98.00    0.19
      19  102.00    0.15
      19  106.00    0.12
      19  110.00    0.09
      19  114.00    0.06
      19  118.00    0.04
      19  122.00    0.05
      19  126.00    0.06
      19  130.00    0.05
      19  134.00    0.03
      19  138.00    0.02
      19  142.00    0.01
      19  146.00    0.00
      20    4.00    8.75
      20   10.00    8.65
      20   14.00    8.47
      20   18.00    8.40
      20   22.00    8.00
      20   26.00    7.52
      20   30.00    6.76
      20   34.00    5.95
      20   38.00    4.90
      20   42.00    4.07
      20   46.00    3.22
      20   50.00    2.66
      20   54.00    2.08
      20   58.00    1.68
      20   62.00    1.31
      20   66.00    1.13
      20   70.00    0.92
      20   74.00    0.79
      20   78.00    0.63
      20   82.00    0.51
      20   86.00    0.38
      20   90.00    0.32
      20   94.00    0.26
      20   98.00    0.22
      20  102.00    0.19
      20  106.00    0.16
      20  110.00    0.13
      20  114.00    0.11
      20  118.00    0.09
      20  122.00    0.07
      20  126.00    0.04
      20  130.00    0.03
      20  134.00    0.02
      20  138.00    0.01
      20  142.00    0.01
      20  146.00    0.00
      20  150.00    0.00
      21    4.00    2.21
      21   10.00    2.27
      21   14.00    2.33
      21   18.00    2.38
      21   22.00    2.35
      21   26.00    2.26
      21   30.00    2.09
      21   34.00    1.91
      21   38.00    1.72
      21   42.00    1.46
      21   46.00    1.20
      21   50.00    0.95
      21   54.00    0.73
      21   58.00    0.57
      21   62.00    0.45
      21   66.00    0.37
      21   70.00    0.32
      21   74.00    0.28
      21   78.00    0.22
      21   82.00    0.19
      21   86.00    0.15
      21   90.00    0.12
      21   94.00    0.08
      21   98.00    0.05
      21  102.00    0.03
      21  106.00    0.02
      21  110.00    0.01
      21  114.00    0.00
      21  118.00    0.00
      22    4.00    3.71
      22   10.00    3.69
      22   14.00    3.69
      22   18.00    3.64
      22   22.00    3.70
      22   26.00    3.67
      22   30.00    3.43
      22   34.00    3.13
      22   38.00    2.80
      22   42.00    2.30
      22   46.00    1.90
      22   50.00    1.60
      22   54.00    1.30
      22   58.00    0.96
      22   62.00    0.78
      22   66.00    0.60
      22   70.00    0.43
      22   74.00    0.30
      22   78.00    0.22
      22   82.00    0.14
      22   86.00    0.10
      22   90.00    0.08
      22   94.00    0.06
      22   98.00    0.04
      22  102.00    0.03
      22  106.00    0.02
      22  110.00    0.01
      22  114.00    0.00
      22  118.00   -0.00
      22  122.00   -0.01
      22  126.00   -0.00
      22  130.00   -0.00
      22  134.00   -0.00
      22  138.00   -0.00
      22  142.00    0.00
      22  146.00    0.00
      22  150.00    0.00
      22  154.00    0.00
      23    4.00    4.42
      23   10.00    4.39
      23   14.00    4.25
      23   18.00    4.05
      23   22.00    3.75
      23   26.00    3.58
      23   30.00    3.29
      23   34.00    2.96
      23   38.00    2.49
      23   42.00    1.95
      23   46.00    1.51
      23   50.00    1.10
      23   54.00    0.79
      23   58.00    0.55
      23   62.00    0.37
      23   66.00    0.24
      23   70.00    0.15
      23   74.00    0.10
      23   78.00    0.07
      23   82.00    0.03
      23   86.00    0.01
      23   90.00    0.00
      23   94.00    0.00
      23   98.00    0.00
      24    4.00    3.54
      24   10.00    3.74
      24   14.00    3.75
      24   18.00    3.64
      24   22.00    3.48
      24   26.00    3.32
      24   30.00    3.12
      24   34.00    2.95
      24   38.00    2.72
      24   42.00    2.58
      24   46.00    2.50
      24   50.00    2.36
      24   54.00    2.18
      24   58.00    1.95
      24   62.00    1.67
      24   66.00    1.42
      24   70.00    1.15
      24   74.00    0.95
      24   78.00    0.80
      24   82.00    0.67
      24   86.00    0.55
      24   90.00    0.45
      24   94.00    0.35
      24   98.00    0.27
      24  102.00    0.20
      24  106.00    0.14
      24  110.00    0.10
      24  114.00    0.08
      24  118.00    0.05
      24  122.00    0.04
      24  126.00    0.03
      24  130.00    0.02
      24  134.00    0.01
      24  138.00    0.00
      24  142.00    0.00
      25    4.00    6.80
      25   10.00    6.16
      25   14.00    5.51
      25   18.00    4.82
      25   22.00    4.12
      25   26.00    3.29
      25   30.00    2.50
      25   34.00    1.92
      25   38.00    1.42
      25   42.00    1.02
      25   46.00    0.69
      25   50.00    0.48
      25   54.00    0.28
      25   58.00    0.14
      25   62.00    0.06
      25   66.00    0.02
      25   70.00    0.01
      25   74.00    0.00
      26    4.00    4.80
      26   10.00    4.42
      26   14.00    4.04
      26   18.00    3.56
      26   22.00    3.03
      26   26.00    2.47
      26   30.00    1.89
      26   34.00    1.42
      26   38.00    1.03
      26   42.00    0.72
      26   46.00    0.48
      26   50.00    0.33
      26   54.00    0.22
      26   58.00    0.14
      26   62.00    0.09
      26   66.00    0.06
      26   70.00    0.03
      26   74.00    0.02
      26   78.00    0.02
      26   82.00    0.02
      26   86.00    0.01
      26   90.00    0.01
      26   94.00    0.01
      26   98.00    0.01
      26  102.00    0.00
      26  106.00    0.00
      26  110.00    0.00
      27    4.00    4.64
      27   10.00    3.76
      27   14.00    2.87
      27   18.00    2.10
      27   22.00    1.40
      27   26.00    0.81
      27   30.00    0.38
      27   34.00    0.14
      27   38.00    0.05
      27   42.00    0.02
      27   46.00    0.00
      28    4.00    2.59
      28   10.00    2.41
      28   14.00    2.46
      28   18.00    2.47
      28   22.00    2.40
      28   26.00    2.16
      28   30.00    1.78
      28   34.00    1.27
      28   38.00    0.79
      28   42.00    0.42
      28   46.00    0.20
      28   50.00    0.09
      28   54.00    0.03
      28   58.00    0.00
      30    4.00    4.43
      30   10.00    4.41
      30   14.00    4.30
      30   18.00    4.17
      30   22.00    4.04
      30   26.00    3.77
      30   30.00    3.46
      30   34.00    3.23
      30   38.00    2.88
      30   42.00    2.48
      30   46.00    2.22
      30   50.00    1.90
      30   54.00    1.51
      30   58.00    1.26
      30   62.00    1.03
      30   66.00    0.78
      30   70.00    0.63
      30   74.00    0.51
      30   78.00    0.39
      30   82.00    0.30
      30   86.00    0.24
      30   90.00    0.18
      30   94.00    0.14
      30   98.00    0.11
      30  102.00    0.09
      30  106.00    0.07
      30  110.00    0.06
      30  114.00    0.04
      30  118.00    0.03
      30  122.00    0.03
      30  126.00    0.02
      30  130.00    0.02
      30  134.00    0.01
      30  138.00    0.01
      30  142.00    0.01
      30  146.00    0.01
      30  150.00    0.00
      30  154.00    0.00
      30  158.00   -0.00
      30  162.00   -0.00
      30  166.00   -0.00
      30  170.00    0.00
      30  174.00    0.00
      32    4.00    2.00
      32   10.00    1.97
      32   14.00    1.94
      32   18.00    1.85
      32   22.00    1.70
      32   26.00    1.61
      32   30.00    1.47
      32   34.00    1.30
      32   38.00    1.08
      32   42.00    0.88
      32   46.00    0.70
      32   50.00    0.56
      32   54.00    0.43
      32   58.00    0.34
      32   62.00    0.25
      32   66.00    0.17
