#---- ------------------- ------- ----- -----
#                                 logMH logM 
#                                 I ([M HI/* 
#GASS  SDSS               zSDSS   sun]) ([-])
#---- ------------------- ------- ----- -----
11910 J000632.57+154004.7  0.0370  9.43 -0.85
12062 J002556.06+153815.0  0.0365  9.84 -0.25
 3305 J005709.66+143906.6  0.0494 10.15 -0.56
 3284 J010253.84+141140.3  0.0397  9.20 -1.40
 3666 J011803.07+153224.4  0.0382  9.59 -0.66
 3792 J012842.03+143633.2  0.0364  9.45 -1.36
27250 J013006.16+131702.1  0.0380  9.57 -0.67
27284 J013204.58+153001.2  0.0440  9.80 -1.15
 3851 J013851.94+150258.8  0.0278  9.15 -1.44
 4111 J014601.79+141421.0  0.0441  9.72 -1.17
 4165 J015046.48+134127.5  0.0441  9.34 -1.49
 4163 J015244.40+131133.3  0.0262  9.59 -0.63
 4134 J015606.45+123403.2  0.0445  9.55 -1.09
 4136 J015703.78+131001.4  0.0323  8.97 -1.88
 4132 J015742.52+132318.8  0.0443  9.75 -1.07
 3917 J015755.84+132129.3  0.0444  8.90 -2.05
 3936 J015945.90+134652.6  0.0441  9.41 -0.71
 3960 J020351.38+144534.3  0.0321  9.45 -0.58
 3966 J020455.76+140055.4  0.0310  8.88 -1.65
 4008 J020829.86+124359.9  0.0347  9.91 -0.58
 3987 J021337.66+132741.5  0.0420  9.30 -1.50
 4056 J021349.29+135035.7  0.0375  8.66 -1.76
12069 J073906.01+290936.2  0.0388 10.00 -1.13
21842 J074533.96+184812.0  0.0450  9.70 -1.36
51334 J075329.53+140122.8  0.0294  9.57 -0.53
51351 J075457.85+142718.8  0.0293  9.69 -1.32
51336 J075617.10+143609.6  0.0474  9.39 -1.61
51580 J080403.84+150518.4  0.0390  9.15 -1.09
14247 J080528.11+355648.1  0.0330  9.65 -1.49
51899 J083131.52+192228.3  0.0387  9.86 -0.15
52045 J083836.42+173809.2  0.0415  9.79 -0.38
32308 J083934.43+252837.6  0.0292  8.99 -1.03
56509 J085045.27+114839.0  0.0297  9.59 -0.89
 8096 J085254.99+030908.4  0.0345  9.68 -0.60
19989 J085425.62+081241.0  0.0294  8.66 -1.80
52297 J085724.03+204237.9  0.0328  9.48 -1.01
56662 J090254.93+133938.5  0.0299  9.04 -1.20
20041 J091427.70+080445.9  0.0309  9.14 -0.89
20042 J091444.06+083605.3  0.0468  9.04 -0.97
16815 J091831.34+065223.3  0.0393  9.45 -1.18
19672 J091929.51+341810.2  0.0458 10.10 -0.63
32937 J092708.07+292408.2  0.0258  9.38 -1.07
32907 J093009.18+285351.3  0.0349  9.35 -1.12
33214 J093624.28+320445.5  0.0269  8.72 -1.62
55745 J093710.07+165837.9  0.0278  8.94 -1.98
 8349 J093953.62+034850.2  0.0285  8.82 -1.55
22822 J095144.91+353719.6  0.0270  9.94 -0.62
20376 J095416.82+103457.5  0.0399  8.65 -1.89
33737 J095851.33+320423.0  0.0270  9.95 -0.74
 8634 J101324.41+050131.7  0.0464  9.46 -0.67
26407 J102138.86+131845.6  0.0461  9.58 -1.45
26406 J102149.72+132649.6  0.0322  9.56 -1.20
26535 J102727.40+132526.2  0.0315  9.22 -0.84
23070 J102802.88+104630.4  0.0448  9.21 -1.81
55541 J103246.99+211256.3  0.0429  9.86 -0.76
26586 J103611.29+131025.3  0.0334  9.27 -0.79
23213 J103621.90+115317.0  0.0293  9.15 -0.99
26569 J103808.15+131737.0  0.0319  9.05 -1.20
15257 J104805.79+060114.4  0.0288  8.84 -1.25
 8945 J105315.29+042003.1  0.0417  9.28 -1.55
23496 J105721.59+120611.0  0.0477 10.00 -0.16
17635 J105935.53+085536.5  0.0309  9.11 -1.37
17673 J105958.54+102312.4  0.0363  8.77 -1.55
17622 J110043.97+090243.0  0.0354  9.26 -0.79
34989 J110339.49+315129.4  0.0466 10.29 -0.75
48356 J111113.19+284147.0  0.0287  9.42 -1.83
17824 J111404.85+090924.0  0.0342  9.17 -0.94
 5701 J111509.40+024156.4  0.0442  9.84 -0.88
48521 J111738.91+263506.0  0.0475  9.39 -0.90
48518 J111750.72+263927.0  0.0285  9.48 -0.94
24496 J111809.91+074653.9  0.0421  9.77 -0.83
 5848 J112142.43+033424.5  0.0391  9.78 -0.66
23703 J112731.58+120834.3  0.0459  9.59 -1.15
48604 J112746.27+265734.5  0.0334  9.78 -0.82
 6015 J113524.48+021627.3  0.0289  9.18 -1.05
23739 J113706.07+115237.7  0.0358  9.25 -1.65
23789 J114144.66+122937.1  0.0342  8.92 -1.49
23781 J114212.30+113041.1  0.0432  9.67 -0.95
48994 J114218.00+301349.0  0.0322 10.31 -0.42
23815 J115036.65+112151.9  0.0306  9.30 -0.93
18084 J115112.59+085311.6  0.0351  8.82 -1.52
49433 J115536.63+292104.4  0.0458  9.27 -1.18
49386 J115913.81+305325.8  0.0294  9.04 -1.49
18138 J120239.51+085624.2  0.0347  8.94 -1.70
49727 J120445.20+311132.9  0.0250  9.66 -0.61
18131 J120445.85+092521.1  0.0353  8.44 -1.90
18225 J120511.42+103341.0  0.0334  8.59 -1.55
28062 J122800.84+081108.1  0.0377  9.26 -1.44
50404 J123409.10+280750.5  0.0400  8.99 -1.56
50406 J123653.92+274456.8  0.0258  9.04 -1.37
50550 J124128.01+284728.3  0.0350  9.42 -0.87
40495 J125626.93+093604.5  0.0459  9.11 -1.81
40502 J125752.83+101754.6  0.0363  9.72 -0.47
35437 J130125.07+284038.0  0.0291  9.19 -1.04
 6679 J130210.77+030623.6  0.0472  9.67 -1.36
13159 J130525.44+035929.7  0.0437  9.38 -0.99
40647 J130624.82+095635.8  0.0487  9.44 -1.29
25215 J131032.19+110121.0  0.0427  9.68 -0.91
44354 J132050.70+313700.6  0.0448 10.19 -0.49
51150 J132259.87+270659.1  0.0345  9.34 -1.46
51161 J132522.77+271456.7  0.0345  9.50 -0.65
43963 J134142.40+300731.5  0.0370  9.84 -1.21
38018 J134834.19+245329.2  0.0297  9.45 -0.63
35981 J135308.35+354250.5  0.0411 10.41  0.11
44856 J135411.14+243322.5  0.0286  9.25 -0.80
13618 J135622.01+043710.6  0.0339  8.72 -1.48
13674 J135815.23+035953.8  0.0300  9.49 -0.61
 9317 J140430.25+050629.4  0.0295  9.39 -0.65
38458 J140603.77+123016.2  0.0387  9.27 -1.14
 7121 J140642.63+015452.2  0.0472  8.91 -1.33
45254 J141830.77+291012.3  0.0349  9.66 -1.37
 7405 J141837.70+020245.4  0.0256  9.58 -0.95
28703 J142802.34+120134.9  0.0267  9.06 -1.10
 9615 J143001.87+032352.1  0.0333  9.41 -0.74
38198 J143134.60+244053.6  0.0378  9.70 -0.95
31095 J143749.60+064454.3  0.0290  9.61 -0.47
 9938 J144140.50+040347.1  0.0275  8.71 -1.37
41699 J144213.77+084036.0  0.0341  8.62 -2.30
 9942 J144325.65+042244.6  0.0264  8.95 -1.87
41718 J144338.96+083350.7  0.0346  8.81 -1.65
10032 J145024.11+043655.2  0.0468  9.40 -1.42
42233 J145304.36+310406.0  0.0323  9.42 -1.07
10005 J145307.29+033217.4  0.0334  8.78 -1.69
42191 J145403.73+305046.4  0.0320  8.82 -1.30
41743 J150204.10+064922.9  0.0462  9.60 -0.85
