#      [O/H]      [O/Fe]
       -1.97      0.50   
       -2.20      0.62 
       -1.84      0.75 
       -1.38      0.69  
       -2.64      0.42  
       -2.41      0.59 
       -2.47      0.52 
       -2.52      0.77 
       -2.56      0.47 
       -1.75      0.94 
       -2.25      0.89 
       -1.99      1.98 
       -2.09      0.75 
       -1.63      0.99 
       -2.66      0.90 
       -2.28      0.76 
       -2.14      0.68 
       -2.44      0.62 
       -1.89      0.89 
       -2.58      0.72 
       -2.31      0.60 
