#    ID      VHEL       FLX      FLXC        mI
     14    7254.0      6.98      8.61     12.50
     19    2310.0     18.94     19.25     10.65
     24    4444.0      4.35      4.94     13.98
     25    5071.0      3.61      3.98     14.17
     27    3113.0      8.91     11.59     13.20
     41    6597.0      3.57      3.97     14.55
     51    5371.0      2.17      2.43     13.12
     53    7894.0      1.98      2.29     14.42
     57    4554.0     11.75     14.55     12.81
     60    5074.0      5.34      6.29     12.09
     69    4640.0      6.97      8.03     13.16
     76    4580.0      2.96      3.26     14.80
     77    4811.0      3.92      5.09     11.82
     79    4339.0      5.62      6.95     13.73
     86    8315.0      4.48      5.65     12.61
     89    4565.0      6.83      9.22     10.83
     94    4592.0      8.82     11.08     12.38
     98    4788.0      4.93      5.53     12.51
    100    4765.0      9.25     10.83     12.27
    108    8042.0      1.06      1.17     13.39
    110    4512.0      2.54      2.91     14.18
    139    3956.0     11.32     15.23     12.93
    152    4863.0      4.15      4.77     14.24
    163    5654.0      3.59      4.00     14.21
    164    5447.0      1.38      1.65     13.05
    166    4832.0      7.34      9.79     13.28
    179    4462.0      5.45      6.20     13.87
    195    5708.0      3.72      4.29     13.53
    207    7028.0      1.06      1.16     13.96
    214    5383.0     10.08     12.61     11.52
    228    5681.0      6.58      7.58     13.16
    229    7217.0      2.29      2.52     14.37
    234    4668.0      1.42      1.59     14.10
    244    4553.0      3.07      3.40     13.45
    256    5187.0     16.20     16.32     13.03
    260    2134.0     27.45     38.84     12.36
    271    4041.0     13.63     13.82     12.66
    272    3900.0      8.36     10.06     13.53
    281    4289.0      3.98      4.57     14.35
    284    4732.0      4.49      5.40     13.35
    299    6306.0      3.98      4.75     13.54
    319    6341.0      6.36      7.59     13.43
    321    4665.0      3.69      4.26     14.38
    329    4388.0      8.83     11.67     13.31
    344    5788.0      5.73      5.78     14.07
    345    4181.0      4.32      4.76     14.84
    346    5904.0      1.45      1.61     13.54
    353    5070.0      1.81      2.06     13.72
    376    4820.0      5.45      6.15     15.12
    388    5406.0      2.19      2.61     13.98
    420    5149.0      4.57      5.80     11.67
    438    4537.0      9.64     13.16     11.12
    442    4928.0      3.97      4.81     14.23
    443    6244.0      3.11      3.43     14.64
    453    4861.0      2.10      2.35     15.26
    457    6235.0      2.54      2.81     13.84
    461    4169.0      9.50     12.05     12.08
    475    5274.0      5.85      5.94     12.92
    490    4556.0     12.19     17.93     11.52
    493    5277.0      9.96     13.46     11.50
    509    5134.0      2.08      2.37     14.23
    510    4535.0      3.21      3.64     13.65
    511    4595.0      2.93      3.46     14.05
    533    5475.0      2.10      2.51     13.89
    549    6062.0      3.01      3.31     14.70
    552    5164.0      3.25      3.29     13.69
    565    5645.0      2.42      2.69     13.82
    575    4652.0      1.79      1.95     13.93
    604    5219.0      2.21      2.22     16.23
    614    2357.0      4.95      5.91     12.88
    622    2715.0     12.13     12.22     12.27
    624    4784.0     10.05     12.12     11.45
    625    2618.0     37.69     38.43     11.45
    629    4995.0      4.68      5.52     13.64
    632    6996.0      0.37      0.41     12.75
