#Cluster    Age        R_{GC}   [Fe/H]  [Fe/H]_err
#         (Gyr)        (kpc)            
IC4665    0.025        8.18     -0.03    0.04
IC2602    0.035        8.49     -0.05    0.05
IC2391    0.053        8.50     -0.03    0.07
Blanco1   0.1          8.50      0.04    0.04
Pleiades  0.125        8.60     -0.03    0.02
NGC6475   0.220        8.22      0.14    0.06
M11       0.250        6.86      0.17    0.13
M34       0.250        8.90      0.07    0.03
NGC3960   0.7          7.96      0.02    0.04
Hyades    0.7          8.50      0.13    0.05
Praesepe  0.7          8.62      0.27    0.05
NGC2324   0.7         11.65     -0.17    0.05
NGC2660   0.8          9.18      0.04    0.04
Mel71     0.8         10.0      -0.32    0.16
Ru4       0.8         12.40     -0.09    0.05
Ru7       0.8         13.50     -0.26    0.05
NGC2360   0.9          9.28      0.07    0.07
NGC2112   1.0          9.21      0.16    0.03
NGC2477   1.0          8.94      0.07    0.03
NGC7789   1.1          9.44     -0.04    0.05
NGC3680   1.4          8.27     -0.04    0.03
NGC6134   1.6          7.68      0.15    0.07
IC4651    1.7          7.70      0.11    0.01
Be73      1.9         17.40     -0.22    0.10
NGC2506   2.2         10.88     -0.20    0.02
NGC2141   2.5         12.42     -0.18    0.15
NGC6819   2.9          8.18      0.09    0.03
Be66      3.7         12.9      -0.48    0.24
Be22      4.2         11.92     -0.32    0.19
M67       4.3          9.05      0.03    0.01
Be20      4.3         16.37     -0.30    0.02
Be29      4.3         22.0      -0.31    0.03
NGC7142   4.4          9.70      0.14    0.01 
NGC6253   4.5          7.10      0.36    0.07
NGC2243   4.7         10.76     -0.48    0.15
Be75      5.1         15.50     -0.22    0.20
Be31      5.2         12.02     -0.57    0.23
Mel66     5.4         10.21     -0.33    0.03
Be32      6.1         11.35     -0.29    0.04
Be25      6.1         18.20     -0.20    0.05
NGC188    6.3          9.35      0.01    0.08
Saurer1   6.6          19.3     -0.38    0.14
Cr261     8.4          7.52      0.13    0.05
Be17     10.07        11.2      -0.10    0.09
NGC6791  10.9          8.12      0.39    0.08
                                              
