#[FeI/H]     [O/Fe] 
   -0.56     0.58  
   -0.42     0.32  
   -0.82     0.69  
   -0.65     0.61  
   -0.37     0.29  
   -0.70     0.38  
   -1.40     0.84  
   -0.81     0.60  
   -0.75     0.69  
   -0.94     0.92  
   -0.54     0.61  
   -0.60     0.26  
   -0.86     0.56  
   -0.42     0.39  
   -0.70     0.60  
   -1.04     0.62  
   -0.61     0.55  
   -0.38     0.61  
   -0.38     0.37  
   -0.17     0.24  
   -0.80     0.46  
   -0.41     0.42  
   -0.59     0.55  
   -0.22     0.36  
   -0.70     0.46  
   -0.36     0.47  
   -0.29     0.32  
   -1.59     0.86  
   -0.42     0.38  
   -0.43     0.55  
   -0.86     0.75  
   -1.07     0.73  
   -1.69     1.25  
   -0.40     0.36  
   -0.58     0.48  
   -0.02     0.16  
   -0.50     0.49  
   -0.22     0.27  
   -0.50     0.56  
    0.22    -0.03 
   -0.44     0.49  
   -0.02     0.09  
   -0.40     0.55  
   -0.32     0.35  
