#  Code       SFR    fgas   R50    Mstar
G3_5        0.500   0.011   3.06   12.47
G3_6        0.039   0.046   3.43   11.54
G3-BH_5     0.389   0.026   5.31    6.89
G3-BH_6     0.189   0.070   3.43   11.07
G3-CR_5     0.438   0.029   4.75    9.38
G3-CR_6     0.000   0.016   4.28    9.22
G3-CS_5     0.331   0.024   4.27    9.24
G3-CS_6     0.062   0.018   3.79    5.28
G3-TO_5     0.354   0.187   1.94    3.73
G3-TO_6     0.380   0.028   3.39    3.94
G3-GIMIC_5  6.969   0.072   1.95   13.06
G3-GIMIC_6  7.792   0.073   2.44   14.10
G3-MM_5     1.159   0.078   3.96   14.07
G3-MM_6     5.797   0.087   2.28   13.74
G3-CK_5     2.392   0.025   3.52   14.00
G3-CK_6     4.501   0.033   3.18   12.30
GAS_5      18.131   0.101   3.55   19.98
GAS_6      20.796   0.147   2.85   17.31
R_5         6.066   0.022   2.56   26.43
R_6         6.056   0.054   3.66   26.67
R-LSFE_5   14.095   0.267   4.53   23.21
R-LSFE_6    8.075   0.199   5.51   23.28
R-AGN_5     0.027   0.128   5.22    5.19
R_AGN_6     0.000   0.014   6.87    1.50
AREPO_5     4.042   0.040   2.21   25.33
AREPO_6     5.116   0.051   3.48   28.68
