#  UGC obs  band epsilon Sky FWHM  n  mu_e  r_e  r_e  mu_0     h    h   B/D
#                                            ''  kpc          ''  kpc   B/D
   10  044  B  0.295  22.33  1.8 1.0 21.92  2.2  1.7 22.01  15.2 11.8  0.04
   10  043  V  0.295  21.55  2.0 1.4 21.32  2.8  2.2 21.09  14.3 11.1  0.07
   10  042  R  0.295  21.09  1.8 1.5 20.82  3.0  2.4 20.50  13.7 10.6  0.08
   10  754  H  0.295  13.96  1.2 1.3 17.48  1.7  1.3 17.58   9.2  7.1  0.08
   16  036  B  0.157  22.25  1.4 1.2 20.90  2.9  1.0 21.36  18.4  6.4  0.08
   16  039  V  0.157  21.44  2.1 1.9 21.08  6.8  2.4 20.78  20.3  7.1  0.22
   16  034  R  0.157  20.53  1.4 1.4 19.45  3.2  1.1 19.88  16.5  5.8  0.12
   52  026  B  0.175  21.93  2.1 0.7 22.15  2.0  0.7 21.10  13.3  4.7  0.01
   52  040  V  0.175  21.50  1.2 0.8 21.26  3.0  1.0 20.16  12.0  4.2  0.04
   52  025  R  0.175  20.34  2.3 1.1 20.92  3.0  1.1 19.56  11.0  3.9  0.04
   52  041  R  0.175  21.07  1.8 1.0 20.73  2.9  1.0 19.57  11.4  4.0  0.04
  463  031  B  0.197  22.05  2.9 0.4 20.05  1.1  0.3 20.49  14.2  4.3  0.01
  463  085  V  0.197  21.59  2.2 0.5 19.67  1.6  0.5 19.86  14.8  4.4  0.02
  463  030  R  0.197  20.55  2.5 0.5 19.23  1.7  0.5 19.27  13.9  4.2  0.02
  463  409  H  0.197  13.64  2.1 0.5 16.32  1.6  0.5 16.87  13.7  4.1  0.03
  728  042  B  0.716  22.50  1.4 0.7 21.91  3.6  1.2 21.84  26.3  8.7  0.03
  728  041  R  0.716  20.80  1.3 0.9 21.31  4.9  1.6 20.74  23.9  7.9  0.04
  784  069  B  0.428  22.17  1.8 0.6 21.79  0.9  0.3 20.78   8.6  2.8  0.01
  784  068  V  0.428  21.20  0.4 0.5 21.10  1.3  0.4 19.86   7.5  2.4  0.01
  784  067  R  0.428  20.84  0.3 0.5 20.35  1.3  0.4 19.29   7.0  2.3  0.02
  784  922  H  0.428  13.69  1.6 0.5 17.81  0.8  0.3 16.74   5.9  1.9  0.01
  927  102  B  0.463  22.62  2.4 0.9 23.20  1.5  0.6 21.20  15.0  6.0  0.00
  927  101  V  0.463  21.82  2.3 1.5 22.99  3.2  1.3 20.53  15.0  6.0  0.01
  927  100  R  0.463  21.36  2.5 1.9 22.85  5.0  2.0 20.04  15.0  6.0  0.02
  927  607  H  0.463  14.19  2.5 2.7 20.81  5.7  2.3 17.59  12.1  4.9  0.03
  929  088  B  0.122  20.96  0.8 0.5 21.34  1.4  0.7 21.12   9.6  4.7  0.03
  929  118  V  0.122  18.50  2.1 0.8 20.27  0.9  0.4 20.53   9.7  4.7  0.02
  929  086  V  0.122  20.61  1.8 0.6 20.53  1.2  0.6 20.40   8.8  4.3  0.03
  929  117  R  0.122  18.62  1.0 0.6 20.27  1.5  0.7 19.93   8.3  4.0  0.04
  929  087  R  0.122  20.25  2.3 0.6 19.81  0.9  0.4 19.89   8.0  3.9  0.02
 1089  047  B  0.180  21.89  2.3 0.8 21.73  1.8  0.6 20.46  10.2  3.4  0.02
 1089  046  R  0.180  20.64  2.4 0.7 20.34  1.8  0.6 19.35  10.0  3.4  0.02
 1089  087  R  0.180  20.22  3.2 0.4 19.82  1.6  0.5 19.42  10.5  3.5  0.02
 1089  268  H  0.180  14.14  1.8 2.0 19.08  4.2  1.4 17.38  10.4  3.5  0.09
 1529  056  B  0.184  22.07  1.9 0.6 21.73  1.5  0.5 21.02  13.2  4.1  0.01
 1529  082  V  0.184  21.20  1.3 0.8 20.39  1.5  0.5 20.11  12.3  3.8  0.02
 1529  055  R  0.184  20.78  1.2 0.8 19.93  1.6  0.5 19.56  11.6  3.6  0.02
 1529  403  H  0.184  13.94  1.7 0.7 17.22  1.4  0.4 17.03  10.1  3.1  0.03
 1629  091  B  0.359  21.02  0.9 0.7 20.32  1.5  0.4 19.84   9.0  2.7  0.03
 1629  090  V  0.359  20.58  1.4 0.8 19.35  1.6  0.5 19.09   8.7  2.6  0.05
 1629  089  R  0.359  20.20  1.5 0.8 18.79  1.7  0.5 18.57   8.4  2.5  0.06
 1808  054  B  0.085  22.26  1.0 0.8 21.05  1.1  0.7 20.90   9.1  5.6  0.02
 1808  063  V  0.085  21.42  2.0 1.2 20.91  2.0  1.2 20.19   9.1  5.6  0.05
 1808  053  R  0.085  20.84  1.3 1.4 19.86  1.7  1.0 19.61   8.6  5.3  0.07
 1808  604  H  0.085  13.97  1.9 0.8 16.99  1.7  1.1 17.34   7.9  4.9  0.11
 2213  030  B  0.113  21.69  2.1 1.0 22.60  2.0  0.0 21.83  15.2  0.2  0.02
 2213  029  R  0.113  20.14  1.5 1.2 21.11  2.8  0.0 20.58  12.6  0.2  0.06
 2258  040  B  0.238  21.42  1.9 0.3 20.68  1.0  0.3 20.25   9.4  2.6  0.01
 2258  094  B  0.238  21.14  1.5 0.6 20.88  1.1  0.3 20.25   9.3  2.5  0.01
 2258  039  V  0.238  20.62  2.2 0.6 19.87  1.0  0.3 19.53   8.6  2.4  0.01
 2258  093  V  0.238  20.75  1.5 0.6 19.79  1.1  0.3 19.51   8.6  2.4  0.02
 2258  037  R  0.238  20.09  1.6 0.6 19.46  1.3  0.4 19.08   8.6  2.4  0.03
 2258  092  R  0.238  20.43  1.3 0.7 19.33  1.3  0.3 19.04   8.3  2.3  0.03
 2258  583  H  0.238  13.74  1.9 0.5 16.19  0.8  0.2 16.58   6.8  1.9  0.03
 2303  063  B  0.101  22.26  1.9 0.9 20.38  2.6  1.1 20.77  11.2  4.7  0.14
 2303  099  V  0.101  21.17  1.3 1.1 19.26  2.6  1.1 19.85  10.4  4.4  0.21
 2303  062  R  0.101  20.96  2.0 1.0 18.82  2.7  1.2 19.29  10.2  4.3  0.20
 2303  655  H  0.101  14.12  2.2 1.0 15.86  2.1  0.9 16.53   8.5  3.6  0.21
 3062  037  B  0.487  22.32  1.7 1.4 23.64  3.5  0.8 20.65  14.5  3.3  0.01
 3062  091  B  0.487  22.09  2.0 1.0 23.75  3.9  0.9 20.70  14.9  3.4  0.01
 3062  090  V  0.487  21.40  1.8 1.2 22.58  5.4  1.2 19.94  14.1  3.2  0.03
 3062  089  R  0.487  21.04  1.6 1.0 21.72  5.1  1.2 19.39  13.4  3.1  0.03
 3062  534  H  0.487  13.61  0.9 0.6 17.52  1.4  0.3 16.64   9.8  2.2  0.01
 3070  094  B  0.397  22.45  1.9 0.7 22.79  5.2  0.8 21.41  12.6  2.0  0.08
 3070  093  V  0.397  21.35  2.1 0.9 22.20  5.5  0.9 20.95  12.5  2.0  0.11
 3070  092  R  0.397  20.81  1.8 0.8 21.58  5.2  0.8 20.57  12.2  2.0  0.12
 3140  079  B  0.076  20.95  1.7 1.0 20.66  2.7  0.8 20.45  11.5  3.4  0.09
 3140  066  B  0.076  22.07  1.7 1.1 20.71  2.8  0.8 20.48  12.9  3.8  0.08
 3140  061  B  0.076  21.90  2.5 1.4 21.24  3.6  1.1 20.62  13.6  4.0  0.09
 3140  096  V  0.076  20.64  2.6 1.5 20.34  4.3  1.3 20.04  13.9  4.1  0.17
 3140  060  V  0.076  20.88  2.4 1.4 20.18  4.0  1.2 20.01  13.9  4.1  0.16
 3140  078  R  0.076  20.44  1.8 1.3 19.37  3.6  1.1 19.40  12.8  3.8  0.17
 3140  065  R  0.076  20.66  1.8 1.3 19.36  3.5  1.1 19.35  12.6  3.7  0.16
 3140  059  R  0.076  20.30  1.8 1.3 19.43  3.6  1.1 19.42  13.0  3.9  0.16
 3140  448  H  0.076  14.31  2.2 1.9 17.19  4.1  1.2 17.13  12.0  3.6  0.28
 3245  042  B  0.287  21.73  1.6 0.8 21.37  1.8  0.6 21.65  18.0  5.8  0.02
 3245  041  R  0.287  20.25  2.5 1.0 20.03  1.5  0.5 20.24  15.5  5.0  0.02
 3245  030  R  0.287  20.37  1.7 1.2 20.52  2.1  0.7 20.28  15.7  5.1  0.03
 3245  042  H  0.287  13.97  1.8 0.8 17.07  1.4  0.4 17.70  11.6  3.8  0.04
 3379  112  B  0.523  20.75  1.7 1.1 20.60  1.9  0.5 21.06  21.5  6.0  0.02
 3379  111  V  0.523  20.47  1.4 1.2 19.20  1.8  0.5 19.95  17.6  4.9  0.04
 3379  110  R  0.523  20.05  1.9 1.4 18.96  2.0  0.6 19.46  18.0  5.0  0.04
 3471  044  B  0.375  21.77  2.2 1.5 22.64  5.7  2.1 21.51  19.4  7.2  0.07
 3471  033  B  0.375  22.15  2.7 1.5 22.80  6.3  2.3 21.52  19.6  7.3  0.07
 3471  804  H  0.375  13.60  1.2 1.4 17.73  2.6  1.0 17.34  11.5  4.3  0.08
 4227  065  B  0.115  22.10  1.3 0.6 20.93  3.2  0.8 21.33  14.1  3.6  0.12
 4227  064  R  0.115  20.89  1.9 0.8 19.92  3.6  0.9 20.26  15.3  3.9  0.13
 4227  021  H  0.115  14.20  2.8 0.9 17.77  3.6  0.9 18.15  13.9  3.5  0.17
 4227  123  H  0.115  13.93  3.2 0.9 17.83  3.6  0.9 18.13  13.8  3.5  0.16
 4778  071  B  0.086  19.39  0.3 0.6 20.78  2.6  1.9 21.22  11.0  8.0  0.13
