      #UGC   epsilon       sky      FWHM         n      mu_e  r_e(arc)  r_e(kpc)    mu_0 h    h(arc)    h(kpc)       B/D         z    D(Mpc)
        10      0.29     22.33      1.80      1.00     21.92      2.20      1.70     22.01     15.20     11.80      0.04    0.0397     160.5 
        16      0.16     22.25      1.40      1.20     20.90      2.90      1.00     21.36     18.40      6.40      0.08    0.0175      70.6
        52      0.17     21.93      2.10      0.70     22.15      2.00      0.70     21.10     13.30      4.70      0.01    0.0175      70.7
       463      0.20     22.05      2.90      0.40     20.05      1.10      0.30     20.49     14.20      4.30      0.01    0.0149      59.6
       728      0.72     22.50      1.40      0.70     21.91      3.60      1.20     21.84     26.30      8.70      0.03    0.0164      66.5
       784      0.43     22.17      1.80      0.60     21.79      0.90      0.30     20.78      8.60      2.80      0.01    0.0163      65.2
       927      0.46     22.62      2.40      0.90     23.20      1.50      0.60     21.20     15.00      6.00      0.00    0.0200      80.5
       929      0.12     20.96      0.80      0.50     21.34      1.40      0.70     21.12      9.60      4.70      0.03    0.0249      99.5
      1089      0.18     21.89      2.30      0.80     21.73      1.80      0.60     20.46     10.20      3.40      0.02    0.0167      66.9
      1529      0.18     22.07      1.90      0.60     21.73      1.50      0.50     21.02     13.20      4.10      0.01    0.0155      61.6
      1629      0.36     21.02      0.90      0.70     20.32      1.50      0.40     19.84      9.00      2.70      0.03    0.0147      58.5
      1808      0.09     22.26      1.00      0.80     21.05      1.10      0.70     20.90      9.10      5.60      0.02    0.0315     126.2 
      2213      0.11     21.69      2.10      1.00     22.60      2.00      0.00     21.83     15.20      0.20      0.02    0.0000      na
      2258      0.24     21.42      1.90      0.30     20.68      1.00      0.30     20.25      9.40      2.60      0.01    0.0135      54.6
      2303      0.10     22.26      1.90      0.90     20.38      2.60      1.10     20.77     11.20      4.70      0.14    0.0214      85.1
      3062      0.49     22.32      1.70      1.40     23.64      3.50      0.80     20.65     14.50      3.30      0.01    0.0119      47.8
      3070      0.40     22.45      1.90      0.70     22.79      5.20      0.80     21.41     12.60      2.00      0.08    0.0084      33.7
      3140      0.08     20.95      1.70      1.00     20.66      2.70      0.80     20.45     11.50      3.40      0.09    0.0154      62.1
      3245      0.29     21.73      1.60      0.80     21.37      1.80      0.60     21.65     18.00      5.80      0.02    0.0162      68.0
      3379      0.52     20.75      1.70      1.10     20.60      1.90      0.50     21.06     21.50      6.00      0.02    0.0137      58.4
      3471      0.38     21.77      2.20      1.50     22.64      5.70      2.10     21.51     19.40      7.20      0.07    0.0186      78.5
      4227      0.12     22.10      1.30      0.60     20.93      3.20      0.80     21.33     14.10      3.60      0.12    0.0131      56.9
      4778      0.09     19.39      0.30      0.60     20.78      2.60      1.90     21.22     11.00      8.00      0.13    0.0376     156.9 
      4978      0.23     22.08      1.50      1.00     23.77      8.50      2.20     23.53     23.50      6.00      0.20    0.0138      61.3
      5674      0.30     21.98      1.80      1.30     21.92      3.40      2.10     21.45     14.50      8.90      0.08    0.0323     138.5 
      5808      0.09     22.14      1.80      1.00     22.91      1.70      0.90     20.93      8.50      4.20      0.01    0.0264     114.9 
      6128      0.16     21.80      0.40      0.70     20.52      1.60      0.10     20.21     12.50      1.10      0.02    0.0046      25.9
      6413      0.12     21.52      2.30      1.00     22.84      3.60      1.50     21.67     11.00      4.70      0.07    0.0230     101.9 
      7357      0.25     21.70      2.40      0.60     22.44      2.90      1.20     21.74     13.20      5.60      0.04    0.0223      99.3
      7632      0.43     22.11      0.40      0.90     21.56      2.30      1.10     21.86     18.80      8.90      0.04    0.0247     108.9 
      9467      0.43     22.53      1.60      0.50     22.50      2.10      0.50     20.90     11.20      2.70      0.01    0.0125      59.3
      9908      0.05     22.33      2.30      1.40     20.70      4.10      0.50     20.54     11.50      1.40      0.24    0.0063      33.0
      9933      0.41     22.38      1.80      1.20     21.49      3.20      1.20     21.32     14.60      5.30      0.09    0.0193      86.3
     10436      0.07     22.51      1.70      0.50     21.38      1.20      0.70     21.33     10.90      6.40      0.02    0.0302     130.6 
     10526      0.24     22.40      2.10      0.20     22.92      1.30      0.80     21.15      8.30      5.50      0.01    0.0343     148.2
     11064      0.29     21.12      1.70      1.00     21.81      2.30      1.10     21.99     25.70     11.90      0.02    0.0235     102.8
     11091      0.39     22.54      2.90      0.30     22.86      1.30      0.60     21.58     10.40      4.90      0.01    0.0242     105.1
     11236      0.47     21.83      1.70      0.70     21.71      1.90      0.70     20.54     12.10      4.70      0.01    0.0192      82.9
     11562      0.11     21.12      1.60      0.80     21.20      2.00      0.70     20.84     12.90      4.50      0.03    0.0178      76.7
     11585      0.19     21.31      1.60      0.70     21.61      1.90      0.70     20.97     16.90      6.60      0.01    0.0198      85.0
     11765      0.44     22.28      2.00      2.30     23.93      2.90      1.30     21.10      8.40      3.70      0.02    0.0222      93.0
     12164      0.43     22.04      2.90      1.30     21.97      2.40      1.50     21.89     13.80      9.00      0.06    0.0329     134.6 
     12224      0.06     22.14      1.60      0.70     22.06      1.70      0.40     21.84     23.20      5.50      0.01    0.0117      48.7
     12303      0.19     22.40      1.70      1.50     22.15      9.40      5.00     23.15     21.30     11.20      1.11    0.0265     108.2  
     12378      0.46     22.29      1.50      0.50     21.39      0.90      0.40     20.76     17.80      7.40      0.00    0.0208      85.1
     12834      0.48     22.24      1.50      0.90     20.78      2.70      1.00     21.03     23.90      8.60      0.03    0.0179      72.6
