#---------- --------- -- ---------------- 
#        SBcB                   
#         (mag  Rd    Rd         
#S        /arcs B (ar Bkpc            D
#eq  NGC  ec+2) csec) (kpc) QB     (Mpc)
#---------- --------- -- ---------------- 
 1  278 18.27  13.0  0.88  0.95    11.33
 2  628 21.52  89.1  3.37  0.96     9.33
 3 1232 21.58  71.4  6.92  0.87    21.00
 4 1288 21.61  25.4  8.89  0.82    61.30
 5 2196 21.01  30.2  4.31  0.79    32.00
 6 2460 20.85  12.2  1.59  0.55    23.90
 7 2742 22.60  35.6  3.50  0.50    22.60
 8 2775 21.52  39.2  3.23  0.75    21.40
 9 2776 20.77  20.2  3.08  0.95    40.60
10 2841 21.36  79.0  5.40  0.40    12.26
11 2855 21.48  31.4  4.00  0.81    28.10
12 2997 20.98 103.5  5.45  0.66    13.40
13 3031 21.20 197.7  3.48  0.47     1.77
14 3147 20.68  30.2  4.74  0.84    43.00
15 3430 21.13  27.7  3.20  0.51    28.40
16 3486 20.72  32.9  1.96  0.77     9.16
17 3521 19.95  51.9  2.72  0.54     8.00
18 3631 21.48  47.7  5.00  0.99    22.20
19 3938 21.03  42.4  3.49  0.95    15.50
20 4254 20.75  48.2  3.58  0.77    39.80
21 4274 21.65  53.6  3.10  0.42    16.00
22 4303 20.49  48.6  3.60  0.83    13.60
23 4321 21.24  73.3  5.41  0.80    14.10
24 4725 22.02 106.0  6.35  0.47    26.80
25 4736 19.25  38.2  0.83  0.76     4.83
26 5055 20.22  61.7  2.08  0.54     8.33

