#name     M_B     M_R     M_I     M_K'    V_max  err    V_flat  err
U6399    -17.56  -18.44  -18.77  -20.33    88      5       88     5   
U6446    -18.08  -18.72  -18.90  -19.88    82      4       82     4    
N3718    -20.90  -21.99  -22.54  -24.00   232     11      232    11       
N3726    -20.76  -21.67  -22.07  -23.45   162      9      162     9    
N3729    -19.34  -20.62  -21.22  -22.78   151     11      151    11       
N3769    -19.32  -20.35  -20.80  -22.35   122      8      122     8    
U6667    -17.83  -18.87  -19.18  -20.65    86      3       86     3    
N3877    -20.60  -21.73  -22.29  -23.76   167     11      167    11                     
N3893    -20.55  -21.45  -21.86  -23.56   188     11      188    11       
N3917    -19.65  -20.63  -21.05  -22.40   135      3      135     3    
U6818    -17.40  -18.10  -18.46  -19.71    73      5       73     5    
N3949    -20.22  -20.96  -21.31  -22.98   164      7      164     7    
N3953    -21.05  -22.20  -22.74  -24.41   223      5      223     5    
U6917    -18.63  -19.49  -19.84  -21.10   104      4      104     4    
N3992    -21.18  -22.28  -22.80  -24.21   272      6      242     5    
N4013    -20.08  -21.40  -22.07  -23.83   195      3      177     6    
N4010    -19.30  -20.17  -20.55  -22.31   128      9      128     9    
U6973    -19.21  -20.67  -21.28  -23.23   173     10      173    10       
U6983    -18.58  -19.31  -19.61  -20.87   107      7      107     7    
N4051    -20.71  -21.72  -22.18  -23.54   159     13      159    13       
N4085    -19.12  -20.11  -20.57  -22.27   134      6      134     6    
N4088    -20.95  -21.94  -22.45  -24.00   173     14      173    14       
N4100    -20.51  -21.49  -21.97  -23.48   195      7      164    13       
N4102    -19.86  -21.20  -21.73  -23.57   178     11      178    11       
N4138    -19.50  -20.93  -21.50  -23.22   195      7      147    12       
N4157    -20.72  -21.83  -22.33  -24.04   201      7      185    10       
N4183    -19.46  -20.16  -20.46  -21.74   115      6      109     4    
N4217    -20.33  -21.54  -22.16  -23.90   191      6      178     5    
 
