# z    R  R/Rvir   M*   NHI           log U            log NH    NH
0.22  83  0.35   10.1  15.6      -1.8  -1.3        19.4  19.9   19.7
0.25  77  0.11   11.3  14.8      -2.8  -1.0        17.6  19.7   18.7
0.14 112  0.34   10.6  16.5      -3.5  -2.0        18.4  20.0   19.1
0.26 135  0.16   11.4  17.0      -4.0  -3.4        18.4  19.0   18.7
0.24 101  0.51    9.8  15.5      -3.1  -1.8        17.7  19.2   18.5
0.25  83  0.12   11.3  19.6      -3.8  -3.0        20.0  20.3   20.1
0.15  91  0.24   10.8  19.5      -3.6  -2.8        19.9  20.3   20.1
0.23 121  0.34   10.8  15.4      -3.0  -1.5        17.8  19.5   18.5
0.35  92  0.55    9.6  16.3      -2.5  -1.0        19.4  21.2   20.2
0.21  91  0.15   11.2  18.5      -3.3  -2.7        19.8  20.4   20.1
0.23  60  0.29    9.8  16.2      -3.0  -2.0        18.5  19.6   19.1
0.36  44  0.20   10.2  18.5      -3.0  -2.5        20.0  20.5   20.2
0.25  23  0.10   10.2  16.6      -2.9  -2.7        18.9  19.2   19.1
0.17  44  0.15   10.5  16.4      -3.5  -2.9        18.1  18.7   18.4
0.25  53  0.21   10.3  15.8      -3.5  -3.0        17.6  18.1   17.8
0.24  18  0.03   11.2  18.6      -3.6  -3.3        19.5  19.8   19.7
0.27 154  0.47   10.7  15.8      -2.5  -1.9        18.7  19.4   19.1
0.22 132  0.38   10.8  16.7      -3.2  -2.9        18.8  19.1   18.9
0.32  32  0.12   10.5  15.6      -2.4  -1.3        18.7  20.0   19.3
0.21  20  0.08   10.2  17.9      -3.6  -2.5        19.3  20.4   19.9
0.22  93  0.41   10.0  15.3      -3.3  -2.9        17.2  17.6   17.4
0.19 112  0.54    9.8  14.8      -2.4  -1.3        18.1  19.4   18.7
0.21  37  0.10   10.8  16.3      -3.0  -2.2        18.5  19.4   19.0
0.19  87  0.33   10.3  16.6      -3.7  -2.7        18.2  19.2   18.7
0.23  35  0.09   10.9  19.0      -3.5  -3.0        19.7  20.0   19.8
0.18  88  0.28   10.6  17.0      -4.3  -3.3        18.1  19.0   18.5
0.26  83  0.32   10.4  15.3      -3.0  -2.5        17.6  18.2   17.8
0.20  39  0.08   11.1  19.8      -3.6  -3.0        20.2  20.4   20.3
0.21  47  0.24    9.7  16.5      -4.0  -3.0        17.9  18.9   18.3
0.31 102  0.15   11.3  16.5      -3.0  -2.5        18.9  19.5   19.1
0.19  34  0.11   10.5  17.2      -3.5  -2.6        19.1  20.0   19.6
0.14  97  0.39   10.1  15.0      -2.4  -1.6        17.9  18.8   18.4
0.25  46  0.13   10.8  16.0      -2.6  -2.2        18.7  19.2   19.0
